DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 poema_aristizabal_20_17_decoded	 1.672	 0.000	 0	 8000	-5.7600
 poema_aristizabal_20_18_decoded	 2.134	 0.000	 0	 8000	-5.5560
 poema_aristizabal_20_19_decoded	 1.506	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_20_decoded	 2.774	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_21_decoded	 0.023	 0.000	 0	 8000	-6.6680
 poema_aristizabal_20_22_decoded	 2.594	 0.000	 0	 8000	-4.2520
 poema_aristizabal_20_23_decoded	 1.492	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_24_decoded	 1.904	 0.000	 0	 8000	-6.3680
 poema_aristizabal_20_25_decoded	 0.155	 0.000	 0	 8000	-5.7680
 poema_aristizabal_20_26_decoded	 2.022	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_27_decoded	 1.842	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_28_decoded	 2.614	 0.000	 0	 8000	-3.5160
 poema_aristizabal_20_29_decoded	 2.207	 0.000	 0	 8000	-6.3560
 poema_aristizabal_20_30_decoded	 2.770	 0.000	 0	 8000	-6.3560
 poema_aristizabal_20_31_decoded	 2.991	 0.000	 0	 8000	-6.3520
 poema_aristizabal_20_32_decoded	 2.961	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_33_decoded	 0.106	 0.000	 0	 8000	-5.5880
 poema_aristizabal_20_34_decoded	 2.809	 0.000	 0	 8000	-6.3520
 poema_aristizabal_20_35_decoded	 1.840	 0.000	 0	 8000	-5.7760
 poema_aristizabal_20_36_decoded	 1.759	 0.000	 0	 8000	-4.7440
 poema_aristizabal_20_37_decoded	 2.461	 0.000	 0	 8000	-6.3520
 poema_aristizabal_20_38_decoded	 2.387	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_39_decoded	 2.312	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_40_decoded	 1.835	 0.000	 0	 8000	-5.7720
 poema_aristizabal_20_41_decoded	 2.162	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_42_decoded	 1.980	 0.000	 0	 8000	0.0120
 poema_aristizabal_20_43_decoded	 2.392	 0.000	 0	 8000	-5.7600
 poema_aristizabal_20_44_decoded	 0.021	 0.000	 0	 8000	-6.3760
 poema_aristizabal_20_45_decoded	 2.882	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_46_decoded	 1.808	 0.000	 0	 8000	-4.7480
 poema_aristizabal_20_47_decoded	 1.843	 0.000	 0	 8000	-5.7720
 poema_aristizabal_20_48_decoded	 2.218	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_49_decoded	 1.825	 0.000	 0	 8000	0.0040
 poema_aristizabal_20_50_decoded	 2.890	 0.000	 0	 8000	-5.7600
 poema_aristizabal_30_1_decoded	 1.436	 0.000	 0	 8000	0.0040
 poema_aristizabal_30_2_decoded	 2.362	 0.000	 0	 8000	0.0040
 poema_aristizabal_30_3_decoded	 1.669	 0.000	 0	 8000	-5.7520
 poema_aristizabal_30_4_decoded	 1.609	 0.000	 0	 8000	-3.4920
 poema_aristizabal_30_5_decoded	 2.210	 0.000	 0	 8000	-5.5520
 poema_aristizabal_30_6_decoded	 0.177	 0.000	 0	 8000	-1.6040
 poema_aristizabal_30_7_decoded	 0.218	 0.000	 0	 8000	-5.4920
 poema_aristizabal_30_8_decoded	 0.218	 0.000	 0	 8000	-5.4040
 poema_aristizabal_30_9_decoded	 0.059	 0.000	 0	 8000	-6.6600
 poema_aristizabal_30_10_decoded	 2.137	 0.000	 0	 8000	-6.6680
 poema_aristizabal_30_11_decoded	 0.078	 0.000	 0	 8000	-6.6600
 poema_aristizabal_30_12_decoded	 1.783	 0.000	 0	 8000	-5.5600
 poema_aristizabal_30_13_decoded	 2.083	 0.000	 0	 8000	-5.5840
 poema_aristizabal_30_14_decoded	 0.093	 0.000	 0	 8000	-1.6040
 poema_aristizabal_30_15_decoded	 1.819	 0.000	 0	 8000	-4.4960
